question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justifications,method
Which of the following is true about the global growth rate?,The global growth rate was four times as high 50 years ago as it is in 2020.,The global growth rate was two times as high 50 years ago as it is in 2020.,The global growth rate is two times as high as it is in 2020.,The global growth rate is four times as high today as it is in 2020.,B,global_facts,val,B,"[<OpenAIObject at 0x7f9fa09608b0> JSON: {
  "" B"": -10.085767,
  ""A"": -11.85212,
  ""B"": -5.1215375e-05,
  ""D"": -13.747812,
  ""b"": -13.673863
}]",The global growth rate was two times as high 50 years ago as it is in 2020. This is because the global growth rate has been steadily decreasing over the past 50 years.,baseline
Most Latin American countries achieved independence,shortly after World War II,in the 1960s,around the time of World War I,in the early nineteenth century,D,global_facts,val,D,"[<OpenAIObject at 0x7f9fa09609f0> JSON: {
  "" D"": -13.077933,
  ""A"": -19.157337,
  ""C"": -17.471588,
  ""D"": -2.3360508e-06,
  ""d"": -15.531846
}]","Most Latin American countries achieved independence in the early nineteenth century, with the majority of them gaining independence between 1810 and 1825. This was largely due to the Napoleonic Wars in Europe, which weakened the Spanish and Portuguese empires and allowed for the rise of independence movements in Latin America.",baseline
After the Atom bomb how many Americans support giving aid to Japan even at the cost of food shortages?,33%,50%,66%,85%,C,global_facts,val,A,"[<OpenAIObject at 0x7f9f680239a0> JSON: {
  "" A"": -10.414513,
  ""A"": -0.17783035,
  ""B"": -3.9845068,
  ""C"": -2.1107411,
  ""D"": -3.766909
}]","According to a Gallup poll conducted in August 1945, 33% of Americans supported giving aid to Japan even at the cost of food shortages.",baseline
In 1948 how many Americans believed the Kinsey Report on Sexuality in the Male to be a bad thing?,92%,64%,27%,11%,D,global_facts,val,A,"[<OpenAIObject at 0x7f9f68023ef0> JSON: {
  "" A"": -10.747396,
  ""A"": -0.3248448,
  ""B"": -1.3023114,
  ""C"": -8.063866,
  ""D"": -5.279404
}]","According to a 1948 Gallup poll, 92% of Americans believed the Kinsey Report on Sexuality in the Male to be a bad thing.",baseline
Total global healthcare expenditure is about what percentage of global GDP as of 2017?,1%,2%,5%,10%,D,global_facts,val,C,"[<OpenAIObject at 0x7f9fa0960720> JSON: {
  "" C"": -11.24834,
  "" D"": -11.588274,
  ""B"": -7.418303,
  ""C"": -0.6468834,
  ""D"": -0.74297374
}]","According to the World Health Organization, total global healthcare expenditure was estimated to be around 10.0% of global GDP in 2017. Therefore, the correct answer is (C) 5%.",baseline
Which of the following pairs of statements are both true (as of 2019)?,People tend to be optimistic about their own future and the future of their nation or the world.,People tend to be optimistic about their own future but pessimistic about the future of their nation or the world.,People tend to be pessimistic about their own future but optimistic about the future of their nation or the world.,People tend to be pessimistic about their own future and the future of their nation or the world.,B,global_facts,dev,A,"[<OpenAIObject at 0x7f9fa0960bd0> JSON: {
  "" A"": -11.052535,
  "" B"": -14.89998,
  ""A"": -0.007787228,
  ""B"": -4.861335,
  ""a"": -14.525283
}]",A is the correct answer because research has shown that people tend to be more optimistic about their own future and the future of their nation or the world.,baseline
"As of 2019, about what percentage of Americans agree that the state is run for the benefit of all the people?",31%,46%,61%,76%,B,global_facts,dev,A,"[<OpenAIObject at 0x7f9fa0958a40> JSON: {
  "" B"": -10.264547,
  ""A"": -0.5283867,
  ""B"": -0.8975445,
  ""C"": -6.328178,
  ""D"": -6.8760505
}]","According to a 2019 Gallup poll, 31% of Americans agree that the state is run for the benefit of all the people.",baseline
"As of 2015, since 1990 forests have ____ in Europe and have ____ in Africa and the Americas.","increased, increased","increased, decreased","decreased, increased","decreased, decreased",B,global_facts,dev,D,"[<OpenAIObject at 0x7f9fa0958e00> JSON: {
  "" B"": -11.371606,
  ""A"": -4.7529664,
  ""B"": -1.0989977,
  ""C"": -8.346197,
  ""D"": -0.41869214
}]","As of 2015, since 1990 forests have decreased in Europe and have decreased in Africa and the Americas. This is according to the United Nations Food and Agriculture Organization's Global Forest Resources Assessment 2015.",baseline
"As of 2019, about what percentage of Russians say it is very important to have free media in our country without government/state censorship?",38%,53%,68%,83%,A,global_facts,dev,B,"[<OpenAIObject at 0x7f9fa0958f90> JSON: {
  "" B"": -9.757008,
  ""A"": -1.0728898,
  ""B"": -0.54258966,
  ""C"": -5.3254814,
  ""D"": -2.6339574
}]","According to a 2019 survey conducted by the Levada Center, 53% of Russians said it was very important to have free media in their country without government/state censorship.",baseline
"As of 2017, how many of the world’s 1-year-old children today have been vaccinated against some disease? *",80%,60%,40%,20%,A,global_facts,dev,A,"[<OpenAIObject at 0x7f9fa0958720> JSON: {
  "" A"": -11.614963,
  ""A"": -1.3661821e-05,
  ""B"": -13.413683,
  ""D"": -14.441875,
  ""a"": -12.92104
}]","According to the World Health Organization, as of 2017, approximately 80% of the world's 1-year-old children have been vaccinated against some disease.",baseline
Which of the following statements about photosynthesis is incorrect?,H2O is an input to the light-dependent reactions.,CO2 is an input to the Calvin cycle.,Photosystems I and II both play a role in the cyclic light reactions.,O2 is a product of the light-dependent reactions.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68012770> JSON: {
  "" C"": -10.741768,
  ""A"": -5.037115,
  ""B"": -8.502097,
  ""C"": -0.006752151,
  ""D"": -11.361496
}]","Photosystems I and II both play a role in the non-cyclic light reactions, not the cyclic light reactions. The cyclic light reactions do not produce oxygen as a product.",baseline
Similar evolutionary changes occurring in two species that can be related or unrelated.,Divergent evolution,Convergent evolution,Parallel evolution,Coevolution,C,high_school_biology,val,B,"[<OpenAIObject at 0x7f9fa096a090> JSON: {
  "" B"": -12.07219,
  ""B"": -7.1062755e-06,
  ""C"": -14.284986,
  ""D"": -16.699663,
  ""b"": -14.215415
}]","
Convergent evolution is the process in which two species that are not closely related independently evolve similar traits as a result of adapting to similar environments. This is in contrast to divergent evolution, which is the process in which two species that are closely related evolve different traits, and parallel evolution, which is the process in which two species that are closely related evolve similar traits. Coevolution is the process in which two species evolve in response to changes in each other.",baseline
Which of the following does NOT take place in the small intestine?,Pancreatic lipase breaks down fats to fatty acids and glycerol.,Pepsin breaks down proteins to amino acids.,Pancreatic amylase breaks down carbohydrates into simple sugars.,Bile emulsifies fats into smaller fat particles.,B,high_school_biology,val,B,"[<OpenAIObject at 0x7f9fa096a2c0> JSON: {
  "" B"": -10.694556,
  ""A"": -10.007354,
  ""B"": -8.268835e-05,
  ""D"": -11.254885,
  ""P"": -14.164079
}]","Pepsin is an enzyme that is produced in the stomach and is responsible for breaking down proteins into amino acids. The small intestine is responsible for breaking down fats, carbohydrates, and proteins into their respective components, but pepsin is not involved in this process. Therefore, the correct answer is (B).",baseline
All of the following statements are correct regarding alleles EXCEPT,alleles are alternative forms of the same gene,alleles are found on corresponding loci of homologous chromosomes,a gene can have more than two alleles,an individual with two identical alleles is said to be heterozygous with respect to that gene,D,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f68026680> JSON: {
  "" D"": -12.709192,
  ""A"": -15.033407,
  ""C"": -14.586827,
  ""D"": -4.0040345e-06,
  ""d"": -15.291434
}]","Alleles are alternative forms of the same gene that are found on corresponding loci of homologous chromosomes. A gene can have more than two alleles, and an individual with two different alleles is said to be heterozygous with respect to that gene.",baseline
Some animals have patterns that can cause a predator to think twice before attacking.,Aposomatic coloration,Batesian mimicry,Deceptive markings,Cryptic coloration,C,high_school_biology,val,A,"[<OpenAIObject at 0x7f9f680262c0> JSON: {
  "" A"": -12.316924,
  ""A"": -6.2699432e-06,
  ""B"": -16.903988,
  ""D"": -16.001875,
  ""a"": -13.307558
}]",Aposomatic coloration is a type of pattern that some animals have that can cause a predator to think twice before attacking. This type of pattern is usually brightly colored and can be a warning to predators that the animal is dangerous or poisonous. Batesian mimicry is when a harmless species mimics the appearance of a dangerous species in order to avoid being attacked. Deceptive markings are patterns that can make an animal look bigger or more intimidating than it actually is. Cryptic coloration is a type of pattern that helps an animal blend in with its environment and avoid being seen by predators.,baseline
Which of the following statements describes the structural level of a protein that is least affected by hydrogen bonding?,Primary structure depends on the sequence of amino acids.,Tertiary structure has a shape dependent on the interactions of side chains of amino acids.,Quaternary structure results from the aggregation of more than one polypeptide unit.,An α-helix is an example of a secondary structure of a polypeptide.,A,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68026860> JSON: {
  "" C"": -11.022574,
  ""A"": -2.5176618,
  ""B"": -8.863292,
  ""C"": -0.0862387,
  ""D"": -6.3141418
}]","The primary structure of a protein is the sequence of amino acids, and is held together by hydrogen bonds. The secondary structure of a protein is the arrangement of the amino acids into an alpha helix or a beta sheet, and is also held together by hydrogen bonds. The tertiary structure of a protein is the overall shape of the protein, and is held together by hydrogen bonds, as well as other interactions such as hydrophobic interactions and van der Waals forces. The quaternary structure of a protein is the aggregation of more than one polypeptide unit, and is not held together by hydrogen bonds. Therefore, the quaternary structure is the level of a protein that is least affected by hydrogen bonding.",baseline
"High fructose corn syrup (HFCS) is a sweetener containing fructose that is derived from corn starch and often added to soft drinks. Which of the following reactions would most likely be involved in the production of HFCS? (The letter ""n"" indicates multiple copies of a molecule in a polymer.)",(glucose)n → polysaccharide,sucrose → fructose + glucose,glucose → fructose,starch → (fructose)n,C,high_school_biology,val,B,"[<OpenAIObject at 0x7f9f680269f0> JSON: {
  "" B"": -10.327211,
  ""A"": -10.7748575,
  ""B"": -0.3561059,
  ""C"": -10.361298,
  ""D"": -1.2056104
}]","The production of HFCS involves the hydrolysis of sucrose, which is a disaccharide composed of one molecule of glucose and one molecule of fructose. This reaction is represented by the equation sucrose → fructose + glucose. Therefore, the correct answer is (B).",baseline
"In a certain population of squirrels that is in Hardy-Weinberg equilibrium, black color is a recessive phenotype present in 9 percent of the squirrels, and 91 percent are gray. What percentage of the population is homozygous dominant for this trait?",21 percent,30 percent,49 percent,70 percent,C,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f68026720> JSON: {
  "" D"": -10.489893,
  ""A"": -6.5714397,
  ""B"": -4.2650623,
  ""C"": -1.9935778,
  ""D"": -0.16452232
}]","The percentage of the population that is homozygous dominant for this trait is 70 percent. This is because the recessive phenotype is present in 9 percent of the population, and the remaining 91 percent of the population must be homozygous dominant for the trait. Therefore, 70 percent of the population is homozygous dominant for this trait.",baseline
This biome is the driest of the land biomes and experiences the greatest daily temperature fluctuations.,Desert,Tundra,Taiga,Deciduous forests,A,high_school_biology,val,A,"[<OpenAIObject at 0x7f9f68026b30> JSON: {
  "" A"": -13.52897,
  ""<|endoftext|>"": -19.384823,
  ""A"": -2.3360508e-06,
  ""B"": -19.144323,
  ""a"": -13.767826
}]","The correct answer is (A) Desert. Deserts are the driest of the land biomes and experience the greatest daily temperature fluctuations. They are characterized by low precipitation, extreme temperatures, and sparse vegetation.",baseline
Which of the following statements is correct about a man who has hemophilia and whose wife does not have the disease and who does not have any relatives with the disease?,All his daughters will have the disease.,All his sons will have the disease.,All his sons will be carriers.,All his daughters will be carriers.,D,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f68026b80> JSON: {
  "" D"": -11.681282,
  ""A"": -13.8976345,
  ""B"": -7.892323,
  ""C"": -4.872771,
  ""D"": -0.008068806
}]","A man with hemophilia will pass the gene for the disease to his daughters, but not to his sons. His sons will be carriers of the gene, but will not have the disease. His daughters, however, will be carriers of the gene and may have the disease.",baseline
"In DNA replication, which of the following does NOT occur?",Helicase unwinds the double helix.,DNA ligase links the Okazaki fragments.,RNA polymerase is used to elongate both chains of the helix.,DNA strands grow in the 5' to 3' direction.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68026e00> JSON: {
  "" C"": -13.545716,
  ""A"": -18.84439,
  ""B"": -18.543161,
  ""C"": -1.3823812e-06,
  ""c"": -16.381893
}]","In DNA replication, helicase unwinds the double helix, DNA ligase links the Okazaki fragments, and DNA strands grow in the 5' to 3' direction. However, RNA polymerase is not used in DNA replication; instead, DNA polymerase is used to elongate both chains of the helix. Therefore, the correct answer is (C).",baseline
"Three distinct bird species, flicker, woodpecker, and elf owl, all inhabit a large cactus, Cereus giganteus, in the desert of Arizona. Since competition among these birds rarely occurs, the most likely explanation for this phenomenon is that these birds",have a short supply of resources,have different ecological niches,do not live together long,are unable to breed,B,high_school_biology,val,B,"[<OpenAIObject at 0x7f9f68026a90> JSON: {
  "" B"": -11.495997,
  ""A"": -17.526976,
  ""B"": -1.0920954e-05,
  ""C"": -17.525415,
  ""b"": -14.057152
}]","The most likely explanation for the fact that three distinct bird species inhabit the same cactus in the desert of Arizona is that they have different ecological niches. This means that they occupy different parts of the environment and have different diets, behaviors, and habitats. This allows them to coexist without competing for resources, since they are not competing for the same resources.",baseline
Which of the following statements is correct about the DNA content of a particular diploid cell just prior to mitosis if the DNA content of the same diploid cell in G1 is X?,The DNA content of the cell in metaphase I is 0.5X,The DNA content of the cell in metaphase I is X.,The DNA content of the cell in metaphase I is 2X.,The DNA content of the cell in metaphase I is 4X.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68026ea0> JSON: {
  "" C"": -11.304736,
  ""B"": -12.862425,
  ""C"": -0.00015338662,
  ""D"": -8.887634,
  ""c"": -15.01023
}]","The DNA content of a diploid cell just prior to mitosis is 2X, since the cell has replicated its DNA during the S phase of the cell cycle. This means that the DNA content of the cell in metaphase I is 2X, since the cell has not yet divided.",baseline
"A gradual drop in the water level of a large lake divided it into three smaller lakes. The division separated a single population of fish into three smaller, isolated populations. After many generations it was determined that the three populations of fish had become three separate species. Which of the following is most likely correct about the three species?",There are differences in the nucleotide sequences of certain gene alleles among the species.,There are differences in the amino acid specified by each codon among the species.,There are differences in the type of cleavage that produces the first blastomeres among the species.,There are differences in the composition of ribosomes among the species.,A,high_school_biology,val,A,"[<OpenAIObject at 0x7f9f68026540> JSON: {
  "" A"": -11.550805,
  ""A"": -1.5214344e-05,
  ""B"": -18.075277,
  ""Option"": -20.639534,
  ""a"": -12.085274
}]","A is the correct answer because the three populations of fish became three separate species due to the gradual drop in the water level of the large lake, which isolated them from each other. This isolation would have caused genetic drift, which would have resulted in differences in the nucleotide sequences of certain gene alleles among the species. B, C, and D are incorrect because they are not related to the process of genetic drift.",baseline
"The upper forelimbs of humans and bats have fairly similar skeletal structures, whereas the corresponding bones in whales have very different shapes and proportions. However, genetic data suggest that all three kinds of organisms diverged from a common ancestor at about the same time. Which of the following is the most likely explanation for these data?","Humans and bats evolved by natural selection, and whales evolved by Lamarckian mechanisms.","Forelimb evolution was adaptive in people and bats, but not in whales.",Natural selection in an aquatic environment resulted in significant changes to whale forelimb anatomy.,Genes mutate faster in whales than in humans or bats.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68026900> JSON: {
  "" C"": -12.33538,
  ""A"": -18.071358,
  ""B"": -15.97937,
  ""C"": -4.838501e-06,
  ""c"": -14.759663
}]","The most likely explanation for the data is that natural selection in an aquatic environment resulted in significant changes to whale forelimb anatomy. This is because whales live in an aquatic environment, which would have put different selective pressures on their forelimbs than on the forelimbs of humans and bats, which live on land. This would have resulted in different shapes and proportions of the corresponding bones in whales compared to humans and bats.",baseline
"A cell from the leaf of the aquatic plant Elodea was soaked in a 15 percent sugar solution, and its contents soon separated from the cell wall and formed a mass in the center of the cell. All of the following statements are true about this event EXCEPT",the vacuole lost water and became smaller,the space between the cell wall and the cell membrane expanded,the large vacuole contained a solution with much lower osmotic pressure than that of the sugar solution,the concentration of solutes in the extracellular environment is hypertonic with respect to the cell's interior,D,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68026e50> JSON: {
  "" C"": -9.236875,
  ""A"": -7.397872,
  ""B"": -1.6703091,
  ""C"": -0.21392453,
  ""D"": -5.6243725
}]",Option C is incorrect because the large vacuole contained a solution with a higher osmotic pressure than that of the sugar solution. The other three options are all true statements about the event. Option A is true because the vacuole lost water and became smaller. Option B is true because the space between the cell wall and the cell membrane expanded. Option D is true because the concentration of solutes in the extracellular environment is hypertonic with respect to the cell's interior.,baseline
The synthesis of new proteins necessary for lactose utilization by the bacterium E. coli using the lac operon is regulated,by the synthesis of additional ribosomes,at the transcription stage,at the translation stage,by differential replication of the DNA that codes for lactose-utilizing mechanisms,B,high_school_biology,val,B,"[<OpenAIObject at 0x7f9f68026c70> JSON: {
  "" B"": -10.553034,
  ""B"": -2.7371756e-05,
  ""C"": -17.089596,
  ""D"": -15.112751,
  ""b"": -13.868343
}]","The synthesis of new proteins necessary for lactose utilization by the bacterium E. coli using the lac operon is regulated at the transcription stage. The lac operon is a set of genes that are transcribed together and code for proteins involved in the utilization of lactose. The transcription of the lac operon is regulated by a repressor protein that binds to the operator region of the operon and prevents transcription. When lactose is present, the repressor is inactivated, allowing transcription to occur.",baseline
"The moist skin of earthworms, spiracles of grasshoppers, and the mucus membranes lining alveoli are all associated with the process of",excretion,respiration,circulation,digestion,B,high_school_biology,val,B,"[<OpenAIObject at 0x7f9f680231d0> JSON: {
  "" B"": -13.32952,
  ""A"": -18.617285,
  ""B"": -2.2159093e-06,
  ""C"": -16.935669,
  ""b"": -14.333045
}]","The moist skin of earthworms, spiracles of grasshoppers, and the mucus membranes lining alveoli are all associated with the process of respiration. Respiration is the process of taking in oxygen and releasing carbon dioxide. The moist skin of earthworms helps them absorb oxygen from the environment, the spiracles of grasshoppers allow them to take in oxygen and release carbon dioxide, and the mucus membranes lining alveoli help to exchange oxygen and carbon dioxide in the lungs.",baseline
Which of the following processes occur in the cytoplasm of an eukaryotic cell? I. DNA replication II. Transcription III. Translation,I only,III only,II and III only,"I, II, and III",B,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f680235e0> JSON: {
  "" D"": -13.778258,
  ""B"": -18.320805,
  ""C"": -14.260684,
  ""D"": -1.9765537e-06,
  ""d"": -14.840816
}]","The cytoplasm of an eukaryotic cell is the site of all three processes: DNA replication, transcription, and translation. DNA replication is the process of copying the genetic material of a cell, transcription is the process of converting the genetic information from DNA into mRNA, and translation is the process of converting the mRNA into proteins. Therefore, the correct answer is (D) I, II, and III.",baseline
Which of the following tends to be highest on the trophic pyramid?,Primary consumers,Herbivores,Primary carnivores,Primary producers,C,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f68023540> JSON: {
  "" D"": -12.096223,
  ""A"": -12.314144,
  ""B"": -14.574775,
  ""C"": -9.075003,
  ""D"": -0.00012548709
}]","The trophic pyramid is a representation of the different levels of the food chain. At the bottom of the pyramid are the primary producers, which are typically plants that use photosynthesis to produce energy. Above them are the primary consumers, which are typically herbivores that feed on the primary producers. Above them are the primary carnivores, which feed on the primary consumers. At the top of the pyramid are the tertiary consumers, which feed on the primary carnivores. Therefore, the primary producers tend to be highest on the trophic pyramid.",baseline
Which definition of evolution would have been most foreign to Charles Darwin during his lifetime?,change in gene frequency in gene pools,descent with modification,the gradual change of a population's heritable traits over generations,populations becoming better adapted to their environments over the course of generations,A,high_school_biology,val,A,"[<OpenAIObject at 0x7f9f68023770> JSON: {
  "" A"": -11.317184,
  ""A"": -1.3542607e-05,
  ""B"": -17.665377,
  ""C"": -15.145773,
  ""a"": -13.612591
}]","Charles Darwin was the first to propose the theory of evolution by natural selection, which states that populations become better adapted to their environments over the course of generations. He did not use the term ""gene frequency"" in his work, so the concept of change in gene frequency in gene pools would have been most foreign to him during his lifetime.",baseline
Which of these naturalists synthesized a concept of natural selection independently of Darwin?,Charles Lyell,Gregor Mendel,Alfred Wallace,John Henslow,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68023400> JSON: {
  "" C"": -12.785173,
  ""B"": -16.88858,
  ""C"": -3.883893e-06,
  ""D"": -16.817465,
  ""c"": -13.856845
}]","The correct answer is (C) Alfred Wallace. Alfred Wallace independently developed the concept of natural selection, which was later popularized by Charles Darwin. Charles Lyell was a geologist who developed the principle of uniformitarianism, Gregor Mendel was an Austrian monk who developed the laws of inheritance, and John Henslow was a professor of botany who was a mentor to Charles Darwin.",baseline
Hawkmoths are insects that are similar in appearance and behavior to hummingbirds. Which of the following is LEAST valid?,These organisms are examples of convergent evolution.,These organisms were subjected to similar environmental conditions.,These organisms are genetically related to each other.,These organisms have analogous structures.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f680234f0> JSON: {
  "" C"": -13.041118,
  ""B"": -18.152275,
  ""C"": -2.2159093e-06,
  ""D"": -18.930777,
  ""c"": -16.094873
}]","Option C is the least valid choice because hawkmoths and hummingbirds are not genetically related to each other. They are examples of convergent evolution, meaning that they have evolved similar structures and behaviors due to similar environmental conditions, but they are not related by common ancestry.",baseline
"In reptile eggs, the extraembryonic membrane that functions in excretion and respiration is the",amnion,chorion,allantois,yolk sac,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f680234a0> JSON: {
  "" C"": -12.170146,
  ""B"": -7.090448,
  ""C"": -0.0008582684,
  ""D"": -10.938353,
  ""c"": -13.584496
}]",The allantois is an extraembryonic membrane found in reptile eggs that functions in respiration and excretion. The amnion is an extraembryonic membrane that functions in protecting the embryo and maintaining a constant temperature. The chorion is an extraembryonic membrane that functions in providing nutrition to the embryo. The yolk sac is an extraembryonic membrane that functions in providing nutrition to the embryo.,baseline
Which of the following changes in a gamete is most likely to lead to a heritable change in a protein?,Deleting two nucleotides from the middle of an intron,Deleting two nucleotides immediately upstream of a gene promoter,Inserting two nucleotides in the genome at the beginning of a codon,Adding two nucleotides to the poly(A) tail of an mRNA,C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f680238b0> JSON: {
  "" C"": -12.335272,
  ""A"": -14.268697,
  ""C"": -9.72699e-06,
  ""D"": -12.581442,
  ""c"": -13.960808
}]","Inserting two nucleotides in the genome at the beginning of a codon is the most likely to lead to a heritable change in a protein because it can alter the codon sequence, which can result in a different amino acid being encoded and thus a different protein being produced. Deleting two nucleotides from the middle of an intron, deleting two nucleotides immediately upstream of a gene promoter, and adding two nucleotides to the poly(A) tail of an mRNA are all unlikely to lead to a heritable change in a protein.",baseline
Which of the following is an example of a coupling of an exergonic reaction with an endergonic one?,"Unicellular organisms that live in freshwater, such as amoeba, must pump out excess water using their contractile vacuoles.",The enzyme lactase binds with lactose to produce molecules of glucose and galactose.,Electrons escaping from chlorophyll a are replaced by those released by the hydrolysis of water.,The flow of electrons down an electron transport chain in mitochondria powers the pumping of protons against a gradient into the outer compartment.,D,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f680239a0> JSON: {
  "" C"": -11.69914,
  ""B"": -14.86694,
  ""C"": -9.012677e-06,
  ""D"": -16.553238,
  ""c"": -15.152905
}]","Coupling of an exergonic reaction with an endergonic one is a process in which energy released from an exergonic reaction is used to drive an endergonic reaction. In this case, the exergonic reaction is the hydrolysis of water, which releases electrons, and the endergonic reaction is the capture of those electrons by chlorophyll a. Therefore, the correct answer is (C).",baseline
Destruction of all beta cells in the pancreas will cause which of the following to occur?,Glucagon secretion will stop and blood glucose levels will increase.,Glucagon secretion will stop and blood glucose levels will decrease.,Glucagon secretion will stop and digestive enzymes will be secreted.,Insulin secretion will stop and blood glucose levels will increase.,D,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f68023d10> JSON: {
  "" D"": -11.574046,
  ""A"": -9.225582,
  ""B"": -15.998683,
  ""D"": -0.00010844024,
  ""d"": -14.458714
}]","Destruction of all beta cells in the pancreas will cause insulin secretion to stop, resulting in an increase in blood glucose levels. Glucagon secretion is not affected by the destruction of beta cells, so it will not stop. Additionally, digestive enzymes are secreted by the pancreas, but not by the beta cells, so their secretion will not be affected.",baseline
All of the following statements describe the unique characteristics of water EXCEPT,it is a polar solvent,it forms hydrogen bonds with disaccharides,it can dissociate into hydrogen ions and hydroxide ions,it is a hydrophobic solvent,D,high_school_biology,val,D,"[<OpenAIObject at 0x7f9f68023b30> JSON: {
  "" D"": -12.606277,
  ""A"": -15.698896,
  ""B"": -13.303061,
  ""D"": -5.3162735e-06,
  ""d"": -15.410269
}]","Water is a polar solvent, meaning it has a positive and negative charge. It can form hydrogen bonds with disaccharides, which are molecules composed of two monosaccharides. It can also dissociate into hydrogen ions and hydroxide ions, which is a process known as ionization. However, water is not a hydrophobic solvent, meaning it does not repel water. Therefore, the correct answer is (D).",baseline
Which of Darwin's ideas had the strongest connection to Darwin having read Malthus's essay on human population growth?,Descent with modification,Variation among individuals in a population,Struggle for existence,"The ability of related species to be conceptualized in ""tree thinking""",C,high_school_biology,val,C,"[<OpenAIObject at 0x7f9f68023e00> JSON: {
  "" C"": -12.598826,
  ""A"": -19.51967,
  ""B"": -18.214258,
  ""C"": -3.529076e-06,
  ""c"": -15.486332
}]","Darwin's reading of Malthus's essay on human population growth had a strong influence on his idea of the ""struggle for existence,"" which is the idea that organisms must compete for resources in order to survive and reproduce. This idea was central to Darwin's theory of evolution by natural selection.",baseline
All of the following are differences between prokaryotes and eukaryotes EXCEPT,"eukaryotes have linear chromosomes, while prokaryotes have circular chromosomes","eukaryotes possess double stranded DNA, while prokaryotes possess single stranded DNA","eukaryotes process their mRNA, while in prokaryotes, transcription and translation occur simultaneously","eukaryotes contain membrane-bound organelles, while prokaryotes do not",A,high_school_biology,val,B,"[<OpenAIObject at 0x7f9f68023ef0> JSON: {
  "" B"": -9.343983,
  ""A"": -8.413734,
  ""B"": -0.040264945,
  ""C"": -3.2424476,
  ""D"": -9.387917
}]","The correct answer is (B) eukaryotes possess double stranded DNA, while prokaryotes possess single stranded DNA. All of the other choices are correct differences between prokaryotes and eukaryotes. Prokaryotes have circular chromosomes, while eukaryotes have linear chromosomes. Eukaryotes process their mRNA, while in prokaryotes, transcription and translation occur simultaneously. Eukaryotes contain membrane-bound organelles, while prokaryotes do not.",baseline
Which of the following is not a way to form recombinant DNA?,Translation,Conjugation,Specialized transduction,Transformation,A,high_school_biology,dev,A,"[<OpenAIObject at 0x7f9f68023bd0> JSON: {
  "" A"": -14.668304,
  ""A"": -9.055464e-07,
  ""B"": -18.859539,
  ""D"": -18.85122,
  ""a"": -14.6443405
}]","Translation is a process in which genetic information encoded in mRNA is used to produce a polypeptide or protein. It is not a way to form recombinant DNA. Conjugation, specialized transduction, and transformation are all methods of forming recombinant DNA.",baseline
A mutation in a bacterial enzyme changed a previously polar amino acid into a nonpolar amino acid. This amino acid was located at a site distant from the enzyme’s active site. How might this mutation alter the enzyme’s substrate specificity?,By changing the enzyme’s pH optimum,By changing the enzyme’s location in the cell,By changing the shape of the protein,An amino acid change away from the active site cannot alter the enzyme’s substrate specificity.,C,high_school_biology,dev,C,"[<OpenAIObject at 0x7f9f68023ae0> JSON: {
  "" C"": -10.80787,
  ""B"": -17.351248,
  ""C"": -3.3928238e-05,
  ""D"": -11.345705,
  ""c"": -13.178225
}]","The mutation of a polar amino acid to a nonpolar amino acid at a site distant from the enzyme’s active site can alter the shape of the protein, which can in turn affect the enzyme’s substrate specificity. This is because the shape of the enzyme is important for the binding of the substrate to the active site.",baseline
"In animal cells, which of the following represents the most likely pathway that a secretory protein takes as it is synthesized in a cell?",Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER,Ribosome–Golgi apparatus–rough ER–secretory vesicle–plasma membrane,Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER,Ribosome–rough ER–Golgi apparatus–secretory vesicle–plasma membrane,D,high_school_biology,dev,A,"[<OpenAIObject at 0x7f9f68012810> JSON: {
  "" A"": -10.004347,
  ""A"": -0.23097149,
  ""B"": -5.7811766,
  ""C"": -1.6006919,
  ""D"": -6.620458
}]","The most likely pathway that a secretory protein takes as it is synthesized in a cell is from the plasma membrane to the Golgi apparatus, then to the ribosome, then to the secretory vesicle, and finally to the rough endoplasmic reticulum (ER). This is represented by choice (A).",baseline
